Date,^GSPC,^GDAXI,^N225,^BVSP,^NSEI,^HSI,VIX
2010-09-06,,6155.0400390625,9301.3203125,66747.0,5576.9501953125,21355.76953125,
2010-09-07,1091.8399658203125,6117.89013671875,9226.0,,5604.0,21401.7890625,23.799999237060547
2010-09-08,1098.8699951171875,6164.43994140625,9024.599609375,66407.0,5607.85009765625,21088.859375,23.25
2010-09-09,1104.1800537109375,6221.52001953125,9098.3896484375,66624.0,5640.0498046875,21167.26953125,22.809999465942383
2010-09-10,1109.550048828125,6214.77001953125,9239.169921875,66807.0,,21257.390625,21.989999771118164
2010-09-13,1121.9000244140625,6261.68017578125,9321.8203125,68031.0,5760.0,21658.349609375,21.209999084472656
2010-09-14,1121.0999755859375,6275.41015625,9299.3095703125,67692.0,5795.5498046875,21696.0390625,21.559999465942383
2010-09-15,1125.0699462890625,6261.8701171875,,68107.0,5860.9501953125,21725.640625,22.100000381469727
2010-09-16,1124.6600341796875,6249.64990234375,9509.5,67663.0,5828.7001953125,21691.44921875,21.719999313354492
2010-09-17,1125.5899658203125,6209.759765625,9626.08984375,67089.0,5884.9501953125,21970.859375,22.010000228881836
2010-09-20,1142.7099609375,6294.580078125,,68190.0,5980.4501953125,21977.33984375,21.5
2010-09-21,1139.780029296875,6275.97998046875,9602.1103515625,67719.0,6009.0498046875,22002.58984375,22.350000381469727
2010-09-22,1134.280029296875,6208.330078125,9566.3203125,68325.0,5991.0,22047.7109375,22.510000228881836
2010-09-23,1124.8299560546875,6184.7099609375,,68794.0,5959.5498046875,,23.8700008392334
2010-09-24,1148.6700439453125,6298.2998046875,9471.669921875,68196.0,6018.2998046875,22119.4296875,21.709999084472656
2010-09-27,1142.1600341796875,6278.89013671875,9603.1396484375,68816.0,6035.64990234375,22340.83984375,22.540000915527344
2010-09-28,1147.699951171875,6276.08984375,9495.759765625,69228.0,6029.5,22109.94921875,22.600000381469727
2010-09-29,1144.72998046875,6246.919921875,9559.3798828125,69228.0,5991.2998046875,22378.669921875,23.25
2010-09-30,1141.199951171875,6229.02001953125,9369.349609375,69430.0,6029.9501953125,22358.169921875,23.700000762939453
2010-10-01,1146.239990234375,6211.33984375,9404.23046875,70229.0,6143.39990234375,,22.5
2010-10-04,1137.030029296875,6134.2099609375,9381.0595703125,70385.0,6159.4501953125,22618.66015625,23.530000686645508
2010-10-05,1160.75,6215.830078125,9518.759765625,71283.0,6145.7998046875,22639.140625,21.760000228881836
2010-10-06,1159.969970703125,6270.72998046875,9691.4296875,70541.0,6186.4501953125,22880.41015625,21.489999771118164
2010-10-07,1158.06005859375,6276.25,9684.8095703125,69918.0,6120.2998046875,22884.3203125,21.559999465942383
